company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22,principal_component_23,principal_component_24,principal_component_25,principal_component_26,principal_component_27,principal_component_28,principal_component_29,principal_component_30,principal_component_31,principal_component_32,principal_component_33,principal_component_34,principal_component_35,principal_component_36,principal_component_37,principal_component_38,principal_component_39
AMD,2017-07-25,-4.001218021764607,1.937914632670133,0.8460282857703164,1.673219461995213,1.9021653338985989,1.9028137367658797,-0.9682441365149432,-1.2706703958976504,-1.2467622896452824,-0.5882140755292787,-0.10601921309003327,-0.8641508595701757,0.9615049681224453,0.3923489463194304,1.1211955808833078,-0.8163667732343325,3.2368417598096997,-0.39532898796926835,-0.23656578592675817,-0.462389872572154,0.9760986557100696,0.7816087992440969,0.3434577243305895,0.32126746564147335,0.2569916298122587,0.46953481482253284,-0.8372886405932474,0.16300347506302013,0.2681867365371786,0.4734733837493481,0.947419925203784,-0.0669697212685649,0.01193365750155036,-0.9244928562366417,0.8115925667388934,-0.2097251838069462,0.18955279379923393,-0.17177172639268737,-0.06686914612754852
NVDA,2018-05-10,-3.2325706984595284,8.959312747050085,-2.456407117697812,2.952823272102973,-4.8029596150960145,-3.161125843673396,-0.6156346215791406,-2.226650271723058,2.4511570136782534,2.2373855387755492,-1.0225811203380357,-2.1261241028297766,0.6296594491582789,-0.81231968455612,-0.4327276262113917,-0.8592205502547954,0.2615024071002217,0.10816170432799449,0.14641647503470048,0.763295641616288,-1.4917439142746,-0.485848766298678,0.6543863862738015,0.532672771045219,1.1942967950179046,-0.4749024912963044,1.5857709836328202,-1.0671418929074974,0.4412215970694661,-0.48550732791703155,-0.1762481501740142,0.33883522851929176,-0.4314308779379131,0.7442729619758989,-0.39178593231651393,0.2730300350470986,-0.7006146960600398,-0.29666452346832584,1.0678740381619751
INTC,2019-01-24,0.027774276211410796,3.5428883178986186,-2.8738582022110637,-1.5232999124353532,1.2625784983212833,1.7589166267698282,-1.5796893666530412,1.805621586469588,3.5947604504431476,1.0244414995118918,1.3124789000811063,2.9872861817195497,-1.9570368784129977,-2.3163644082593216,0.23249433816967754,-2.075480789051012,-0.6956189038347945,1.9725211449382019,-0.12726935486719532,-0.7227749229846212,-1.0784999271672553,0.436112667126737,-1.0066928084089544,0.14220409907575918,-1.7395055146691938,0.29239535528574945,-0.812488159095698,0.4205705901749577,-0.3131895255689457,-1.2769017932321398,1.6273124086987958,0.9007400017107069,0.7306402089546181,-0.23099783350403505,0.483674999011485,0.10777153996759234,-0.1468223049646926,-0.34702508257521647,-0.2615901561710137
CSCO,2020-05-13,-1.931854502765535,-2.0289464211000614,0.6301270089361898,2.538971036720107,1.619303448781962,1.777011822896534,-2.3140249333324956,-1.8338206120414757,0.9533637331364966,0.13675388396118351,1.2634394707969543,1.6873431588244134,0.154334806155826,-0.606773449947288,-2.2154233867892557,-0.917254920640865,-1.4081460577450715,-1.4774502637520543,0.3834359480381111,-0.17053695332097993,0.8754674159002261,-1.0640827652480005,1.9747736188161948,-3.1268381784534873,-0.7944495690331698,0.48999245244588086,-1.2123321554717736,-0.07723743834691595,0.6015837379300012,-0.055237997717362125,-0.7520225928311592,0.7648786158868418,0.48915084653421653,0.555394208746176,-0.08696293383349481,0.3036909260609351,-0.17255951166224898,-0.3414947168064676,0.10460846172207644
MU,2016-12-21,-2.983573321991104,2.5599700733037065,1.490797002239237,0.47628095489365274,2.3089025980614797,3.0291679392996245,0.5569577841463776,0.16799835202254643,-0.8021130185784864,-0.6446967456038634,-2.0870006259823266,1.0223271383718957,-0.40731610124222434,2.6215589021602645,-0.5373196715382278,-1.9036083031902546,2.0547799802294167,0.6613613555416383,1.0006722289158583,-0.2818290136408139,1.043690926117326,0.8202622596121268,-0.6738697492749561,0.6657614635444077,1.0959231570840515,-0.9622118102400672,-0.3882417632175607,0.6745898648440287,1.3548202807462248,1.4212773279939752,0.2600214550583223,0.11236675565352663,-0.2692293017148988,-0.6826759725387282,0.026035271950550633,-0.0027478594754680335,-1.2007163510168266,-0.5271309001901965,-0.13071835471758597
GOOGL,2019-02-04,0.8429290751926379,5.351312056701571,-1.0486335482657807,-2.6501923678515333,3.255556126023712,-1.8005905440384329,0.21055695098760388,0.1884635817642195,-2.1445279750658504,2.4251699862136444,0.9869698460416598,-0.4382067635243535,1.4595373123421667,-1.403016143834524,-0.8622051352588457,0.7642838323196487,0.5786895690430701,0.0652260916734715,1.5138541887357437,0.9992837896468061,-0.8843328758426052,-0.5082708447813518,1.8570078846250333,-0.49427799381067467,-2.5916442420060246,-0.486933986683261,-0.17914773259600683,-1.098534526032288,0.8567755530992262,-1.4508404363366971,-0.033152271740796255,0.9691703622658235,0.21735291949748842,-0.04046550946959375,-0.0345635934915872,1.0007204623665975,-0.5531668971945612,-0.7949599466556739,0.20554203338466834
AMZN,2018-04-26,1.2239316824784252,-0.7287753949074464,-1.9340651240896916,-1.018546027116654,-2.5012564625497036,-2.1645393484247366,-1.9072649001353488,2.6510625109745893,-0.23567737461630073,-1.1902680059716448,-1.5961222101855987,0.8932450267330609,0.9629368510004256,-0.6633496018453564,3.006948619518677,0.42852224457849325,0.761287956022479,0.29305339556655025,-0.5355505053865771,-0.09707192478730226,-0.008252377871375376,-1.0300353954712218,-0.3053558978858331,-0.421887576764792,0.7146892325875515,0.19285327112935458,-0.4429704473389579,-1.6402753932333052,-0.7570100623035918,-0.9395399365717146,1.0143964524595703,-1.6277840554394223,0.6235184543224128,-0.24066239221360983,-1.0037638782499374,-0.9299160471524898,1.5003117004766513,-0.5640111571635132,-0.1802019118109486
CSCO,2018-02-14,-2.886903024518359,-1.2456321826992955,-2.592090231960327,-0.4310319755043573,-0.28429885595631615,1.577125541821449,1.3385275929744727,2.472759983947988,-2.4117876671057394,-1.1166446921250102,-1.713865672645797,-3.1116969870952853,-2.503973081892849,1.1952782097830232,0.216657827714851,0.39849767267370045,-1.1800488819285424,0.7670985707739596,-0.145328607689267,-1.4194929865220458,-0.5854163259918014,0.9183796417010579,1.0713235936707033,0.6145154248895238,-2.0153311317215747,-1.5255502153082332,0.19224100365451585,-1.6986556634567653,-0.14609497534233237,0.01644455165184545,0.1578398253736394,0.5066711468538078,-0.38425476559996213,0.3316250644829192,0.4378855770612806,-0.9134109421523549,0.5311030576221092,0.6442999156829006,0.2738468856639095
NVDA,2016-11-10,-6.148355343993737,-2.5664583143817397,2.97621110624962,1.5159069851690448,-3.8578617627569005,-1.2300302437523516,2.099484978094304,-0.8702898760065539,0.3693045820495187,0.44085449958161066,0.21096845913605383,0.6529365721809253,1.2222102488486342,2.245307389351878,-1.4994958809665697,1.3979358119419818,-0.6456760574624482,0.6749369864707216,-0.6295794410490212,0.03173634966420058,0.11116346673647447,-1.9057188737298392,-1.144094124522963,-0.6995009397166977,-0.43056235789012137,-0.5805599595672057,-0.8918806453796733,1.8228742134418399,-0.3855788846146184,-0.5981520382210708,0.03664404898565407,-0.15401085217429467,-1.1700865706194759,0.3413573761939741,-0.37097955220928547,-0.3413536423414566,-0.5309023353788745,0.18548846201231123,0.7942115345614527
CSCO,2019-11-13,-1.1148030144123462,1.4297301030280407,0.4278518944850813,-0.5468924411217314,1.4408389432061084,0.7016691986487232,-3.0590208672947887,-2.7378266260322226,2.4101464251326177,-2.3137526490766085,-0.3300945785243761,-0.9837835620235298,-0.47847342762297473,-0.10617584845493182,-0.5839892057821999,-0.7253938907441109,0.09053640031931783,1.509569665700522,0.013353863140469761,1.046424689486719,0.21673581785235874,-0.7593519906804093,-0.013763030705603444,-1.45733043283929,0.08893337059487616,-0.6429835175617432,-1.4499934999176944,0.5611970995885786,0.03297087026903129,1.213491434391565,-0.14501417102326458,-0.5983152979549393,0.43483102413041225,1.8304179621832706,0.029471315575766346,-0.003380451901272393,-0.9892298155462173,-0.3458500437103655,-0.045458097033896375
