company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22,principal_component_23,principal_component_24,principal_component_25,principal_component_26,principal_component_27,principal_component_28,principal_component_29,principal_component_30,principal_component_31,principal_component_32,principal_component_33,principal_component_34,principal_component_35,principal_component_36,principal_component_37
CSCO,2018-08-15,-0.9755060533271268,1.8565645649076135,-0.021016772336477474,2.1388845614324197,0.7734658702098764,-0.9845494485637855,1.9910609969324005,-1.9875486796255941,-1.4191951759935517,0.5064426243052516,-0.0594279536766192,-0.05074763961032213,0.5738448273637802,0.4853490125647593,-0.734101943671427,1.0774922306386212,0.23109172802766384,-1.1870991165913705,-0.047790817065839555,0.008319097902432758,-0.2168317995099224,-0.4479365591165493,0.7761239049023192,-0.3019668230988115,-0.266084079724442,0.10169540489011594,1.1952962054687202,-0.4679370231322524,0.5823784040161241,-0.45047756365118136,0.42839336125194893,0.06653839562753858,0.7549435278352152,0.3679717289543515,-0.5715274373878171,-0.4849153766446336,0.19714907895166814
ASML,2016-01-20,1.3001690985083472,-6.91671762829885,-9.690949138884827,-4.553326267314543,-2.8057718947839208,-1.2910683193981154,-3.555803935114744,0.1836107417892859,1.2479171802809952,-1.124127493174856,-0.09742076797966581,-1.0204413160043329,1.0586294995886443,2.6605257754424043,-1.2754576429501197,-0.6312325324011302,0.6139770240198577,-1.7352693178799936,-1.2532009572257543,-0.11121079432158879,-1.1591934787254559,1.1564404296389936,-0.9597451799274457,0.3250934114909996,-0.5681036219325728,-0.5374993213326261,-2.537584348112087,-0.8191327918551766,1.734065574600649,-0.053602486589781444,-2.2885492525979116,0.4735074447581854,1.0307709943533956,1.1045800988689567,0.4184462642194127,-0.3562655041996345,-0.7724325663089474
GOOGL,2018-02-01,2.8237199266645567,3.6206340906654857,3.4495551008860827,-0.35654459967828206,1.2543279984927342,-1.4665297786370604,-3.999195727282814,-0.12647148003593736,1.595470160235355,-0.4639027490646691,-3.8175791089387148,2.846987659403056,-0.647513513431774,0.530185365492546,0.14557401740005993,-2.432537543864018,-1.7232889313466573,0.2160063797722482,0.2002080334148677,2.288555893484305,-0.0055251975520995665,-0.67401382468444,-0.4143460558572484,3.094837879407536,-0.7046621949554047,-0.8480971423422274,-1.266829279153085,-0.2835914477150625,-0.7233543254232986,1.5233723740274547,-0.08373347176307243,0.4435834503704924,0.09721989427519927,0.19248662625173482,0.9941061310443053,0.3925984933577318,0.48019645558984203
AMD,2016-10-20,-5.1519023771953,2.1633864883472147,-1.8606960620894575,0.20338775758772867,-0.7720892204296139,-1.4673922815191276,-0.5622898507937598,0.39834815889471925,0.10281321665843,0.07913121427276816,0.2480080693715705,-2.6312045608699313,-1.2308365504680505,-1.603766642660428,-1.0132489814905465,-0.08532807617123025,2.337072639329045,-0.21593852521458826,0.5097216939321552,-0.5929441359525495,-0.22325386376674347,-0.8438400511856298,0.8403973176214039,1.2251835191754454,0.45277140795966503,0.49667996869724246,1.4698738826095739,0.16404871095606083,1.4538518210796814,-0.6350800658623954,0.3116697288375509,-0.27214238795402856,-0.26480764154670183,-0.7138852926091966,-0.6011390641775238,1.2369456150200755,-0.7230492128437446
MSFT,2019-01-30,4.7831454766810975,-1.8621612511728507,-0.5549146404355015,4.478018285559336,3.408390712077643,-0.08896202598171273,0.34998668421686885,1.6102767497162878,3.288542705199784,2.372343382543306,-0.10519034228590099,-1.1662655814457736,0.1414602925997865,-0.9452109090820165,0.5699197787237076,-0.6629630558782323,-2.3393142404581284,-2.4396578870345733,0.5211677270805527,-0.2478428943077931,-1.3993241169911528,0.4523817119627431,-1.191644586307468,0.9618443287755715,-0.6950734946919576,0.1528646158480419,-0.012063291478772593,-0.1290973801526206,2.0248159502071723,-0.8318520151914213,-0.3289129888424281,0.5748282701572633,-1.158532730642781,0.09711510605746522,-0.9288644296441609,0.35332347064964226,0.35397491025406647
AMZN,2016-01-28,-2.8445671783924533,0.5889046127195923,-10.826617120660279,-1.8072050618328894,-1.4843702112456545,-0.019368936453095096,-3.7576597537964873,2.306141516271373,-1.9963458341137852,2.790377909442992,0.2038423567198298,-1.9397278414960286,0.3618964323937497,1.272397559747381,-0.30991208386026614,-0.6993043085882539,0.8736070755962431,-0.9641625205956779,-1.2994306836216982,0.31971065226821715,-0.14006308535303896,-0.6198215019830345,-2.4794142613437726,0.4026403333612087,-0.49183856907273754,-0.31118008701372024,2.1719950668934294,-1.6278299167340309,-0.28729339959422545,2.5445440283970786,0.4145162118337659,0.8771501410229696,-1.3230428793790459,-0.47430497213516654,-1.367417287254256,0.5885792709089304,0.5972431914836762
CSCO,2019-08-14,-5.407356297747391,-9.40706627102103,-0.9970898350567721,1.0323952518384727,1.4859226007918231,0.6816397567510517,1.2223957092325346,-1.794189274097489,-1.1371812069564584,-0.27598244955921336,-1.6813576022575878,1.484271168719852,1.4853393466010032,0.8214512850543229,0.2620726641979224,1.0012019030980117,-0.005437464718435219,1.2228674882585586,-0.9075597684194482,0.7464516647467546,0.13846499916748825,-0.14759175958764814,0.5905818391558014,-1.7070243726499674,0.9173683479876037,-0.10183448614730505,0.5088635883850372,-0.17809249995364987,0.024839232304470247,0.8083662362237684,0.21250543812227035,-0.08577512257297527,-0.04299682705260961,0.42416552303721466,0.4734717516004063,-1.402238481321126,-1.139131822346318
MSFT,2016-04-21,-0.4393794596369898,0.7949806580481517,0.41781734318612834,3.71858036923829,-2.328631516156356,-1.9360027755171358,1.4867269357386141,0.024504381737555696,0.08560366828650813,1.407882524379135,3.2451751566257907,-0.33067910454484717,2.7575225367710052,-1.134416003837326,-0.5621551024626504,0.2456988645848158,-1.4505118656688307,-1.9705895102294786,1.661246902280383,0.09871667153009907,0.7889148096003125,0.42450195355546244,-0.8394143551494381,1.5613019067948886,0.7657843172566315,-0.25179740133712764,0.23862820654943617,-0.16116443814787418,-0.1286582705441432,0.8707627957035581,-0.6975421054186056,-0.1018431958773817,0.7044602105732556,-0.6058392528556603,0.3510863738765751,-0.608897063657698,0.24291889205944894
NVDA,2017-02-09,-3.9548273737418986,6.418988633480818,2.5491327003401216,-4.124916739234679,0.719461120674744,3.323385421112865,0.5538236419246771,-0.561186102823709,0.7350984691301888,0.8037669360394307,2.5959226232211994,0.08120104220070404,0.06934758038968096,0.3581589069581492,0.016494927555073886,-0.12542426402247323,-1.2769162128299096,0.3953510707163286,1.299683337021148,-0.5435968637747879,-1.1422147856917042,2.6636895070280504,0.02128914695135126,-0.8190892840244427,-0.2587819167042371,0.5609914558258857,-0.13539003288811433,-0.9659288313489927,0.33690757088985185,0.3450812780505069,0.17537185893988974,0.0550725631089843,0.3883815010582636,-0.38132857426099315,1.3555613953689056,0.722573627080639,-0.9525877579049461
AAPL,2017-05-02,0.6767027632165344,5.0514288640579155,-1.063367991279254,-0.8653237196878177,-0.2922382205827301,-2.7390284002366174,0.6704424448281113,-2.0073384486769124,-0.855298452069243,-0.3694083631566821,-0.23042382046866583,0.10552695580013642,3.4038325768289437,-0.8918112005466354,0.5574638504911832,0.3414379528689744,-0.09520252358110452,0.9447798663178839,-1.2873185006626549,-1.1271980570561693,-1.0226561049793004,0.027882498606723722,1.6105216252954984,-1.11002958759676,0.1686352585425953,1.0359547992193052,0.6488016788088677,0.06803356305078187,0.30092987906482055,1.0187898412499583,0.46467855951907655,-0.6050296310790819,0.2948832031332648,-1.168314083553446,-0.07058961071120672,0.6702938921783712,0.07118943961092557
GOOGL,2017-04-27,1.980459973277002,6.83278266528239,-0.7546150061762296,1.009092157870931,2.2887778694882606,-2.3186394917943165,-3.353104785116702,-0.9581751013168419,1.5981144086358785,-0.4203513431420931,-0.5888275555263971,1.2043360301835835,-0.2315681452963768,-0.700235328939522,-0.134325243196072,0.5103145584886646,-0.41427559698037986,0.5801823749437023,-0.42973484142007046,-0.5094681730873717,1.1506613592602755,-1.2956514919862883,0.052031066824468536,-0.2880223168944255,1.3443180735365032,1.005127238174903,-0.09957099444762968,-0.28158261751718394,0.8772057686435241,0.2120549825685344,0.5610647790566472,-0.010513025426845757,-0.1301871982185412,0.20995898115116102,0.1458067766559489,0.23117485720133407,0.09466788164185479
AMZN,2019-10-24,4.168692945569418,-1.3786926423663974,-1.25823773378177,-2.0517741971582626,4.9655272858445,-0.35306659149287334,1.6332436904757266,1.4457382817728666,-3.5560274664680813,2.0616403746838654,-0.768507519287341,-0.2158295262190917,-0.8444403630910344,0.36980950524931916,-0.5848591690158877,1.3169727442429184,0.4529216043542626,0.03960321645261779,2.6159593848188543,-1.34670308745798,0.8788167105233557,-0.05638860645929497,0.5067044020347958,-0.7153433503842129,-0.676603736765357,-0.05441862289872135,-0.5498565169475613,-0.6716628524405562,1.1676488410118895,0.514483451535356,-0.9094025930491543,0.7325274931030495,0.12312610600961146,0.008674178426809936,-1.0591693481148152,-1.3483666551390099,-0.49912821969771015
ASML,2019-10-16,22.959183543828964,-10.997599593851074,4.057714005736893,0.914555972945623,0.024154093314939156,4.3941479168304465,-2.714420939420232,-2.5382087973857037,-5.183355837014197,0.4965309195529296,3.9653421951390446,1.321621436512368,-1.5754276476409286,-1.050984836327777,-3.9614021412632074,-1.1571188576653333,-0.30625947968555645,0.2923555113894339,-4.632940688136536,-2.4257264497117226,-0.18590645589332344,-1.2237126286660849,0.8515886499098192,1.911935934575829,0.6267122017992153,-1.4414076487635552,0.28574985997797664,1.0619093097212307,-1.0104297616870122,-0.11952670112345122,1.6951744108792832,0.8687691798895593,-0.26571579481471175,-0.042424642858341174,-0.2407420477081539,0.7273781892261345,-0.9329719606928167
GOOGL,2019-04-29,5.347401867503217,6.7106306988698305,0.2453555753724632,0.8687069032415253,2.4637238415997844,-1.0740696200898445,-2.242952876709029,-1.3990492730948538,3.0336497444030357,-0.7049360880856845,-3.006066238751097,0.5461341539288254,0.6796739930342951,0.6637570628665121,-0.3814095565726014,0.4313218976919704,-0.8564349747424044,1.4311239112072534,-1.3011892709883386,-0.733077353037785,-0.863063769162259,0.399114979929793,-0.3306756181988003,-0.6890012565021468,-1.003808817833425,-1.7384542528601483,-0.04156171603644012,0.7288779994233544,0.3067650329350803,-0.4098596022753879,-0.645342482708418,0.08214798340737452,-0.7745445689308216,0.685851589625791,-0.08464796437051067,-0.4326056747615502,0.28018742569320587
MU,2017-06-29,-2.6313135881009946,-0.39062766422857476,2.1612483375829057,2.0914931285239597,-1.3829691916171976,0.39697982068229365,-1.7771403854771213,0.34693537245828254,0.8865733358417385,-1.568032631020865,-0.5236698304252083,0.41187216006561345,-0.6769306919739108,-0.7061399789161978,-1.01907888057346,-0.3605116450303666,-0.6175899974431341,-1.971706889109114,0.5987616715202774,-0.9612955192117456,-0.332695632653351,-1.2233557339019223,1.148120960286132,0.7664239267406903,0.15072918236757277,0.7309798859287109,1.3962619422043119,-1.3304377983323523,0.6557394660995312,-1.0046484866443182,0.7197120365367583,-0.5174903291301051,-0.06612033907553745,0.7670349278109624,0.39787188366954984,-0.4553543256077167,0.522906029046846
MU,2016-06-30,-3.4661736668855965,3.3701788328028197,-1.1079942344579872,0.927283027640759,-6.223611784165824,2.752576985956891,-2.5345192228078135,1.8483191479067322,0.49797052144499143,1.499202225562131,-1.3758233779877143,-2.8334458144364785,-0.08109789108981516,-0.6445012402440022,-0.9244347084099352,-1.4957013772147754,0.8343739654765826,-2.943326917762385,0.4026027597098911,-2.3765989145170976,0.8873139463243829,-2.8786990314989054,-1.2007186806192423,0.11287194091267069,-0.8922561576684873,1.6866791943931447,-3.1207477817440004,0.44055226908621864,-0.569554197906694,-0.05641151325894355,0.6172675126426772,-1.2661443668415582,0.02933669775680376,-0.7558874743308686,0.6543970552795556,-0.7264164016092127,-0.8384051819384272
