company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14
CSCO,2020-05-13,-0.9109903144369985,-3.639967336079252,-0.592523347945942,-3.418151805851844,-4.545629246001547,-0.9718762169820985,-2.489664445017122,3.1471156191234777,0.6282486493223971,0.41811070886230195,0.9517296480936709,-0.7196072252217479,1.0382100576417799,0.0740478867902818
AMZN,2020-01-30,1.0259876447676703,-3.8044154025158563,-5.218800162994335,-0.18166664775739466,3.6282375632874357,2.1216433988094585,-1.651548514983335,2.6177033302635047,-4.070922059365166,-1.6926931464354926,-1.0490543745435188,-0.37496530324349936,-0.3748301120397252,-2.4479090005587785
ASML,2020-07-15,21.247538811100124,4.2902821390551935,1.6376413297339565,2.81131082952721,-1.4621795286508006,2.2766726714142806,-4.4486006032239995,2.287074940276247,1.940419276515974,-1.2370966477473873,-0.8357818796101165,1.2577004848832438,-0.4927110481949971,-0.18418951026727462
AMD,2020-04-28,-1.4406633385508543,1.5309304098454517,1.3217349544393624,-2.698104665467598,-4.4562106792132665,0.7985757504714199,1.2749710275654222,0.48643616391659444,0.27474408062694716,-1.5254649175748825,1.4047573557399575,-3.5682315991058835,-2.0300215364923404,0.08372623022644413
INTC,2020-04-23,-1.0362161578859672,-1.2084494177739094,-0.14813095618926897,-1.5870262713547099,-5.225252543183087,-0.9349284239124912,3.7036210751362098,5.106447187365934,-1.7618161744032135,3.501395215708319,-0.4657265015088523,1.5523578411824581,-0.24113724502434955,-1.583140972135848
MSFT,2020-07-22,6.09214104610309,0.238863764786883,-2.347806292314113,4.525548129652482,-0.903837828503183,-0.9945100423755704,2.8725326084727367,-2.84469909516127,3.374788266028541,3.203658345187233,0.980896255542418,-0.2797678598407791,-0.02118796647497912,-1.3525738000154945
NVDA,2020-02-13,-7.8747535799860735,2.9020348431101293,1.3017088808615676,1.7926795969571436,2.742196057846119,1.4260523032821628,-3.7492424288913404,-1.6527612653410908,-1.2260536281510932,0.9611002078142677,-1.7492979929201646,0.6958457830173257,0.2606551673192526,-1.1045830703445034
AMZN,2020-07-30,5.071880221650205,-2.650837141743129,-4.813428447989876,-0.28416574941904277,1.6748642375251732,5.409103872870157,1.7240657928699432,0.2546722346415845,-2.2991478038394826,0.4728072503493299,2.244493203672707,-0.13503361677768835,0.13433823756941216,2.2150814803373198
GOOGL,2020-07-30,0.10158211878682971,-2.8667484036178617,-5.788163224939391,-0.33835058968142484,-0.6370531053391166,-0.5276855743587087,0.6795530029151581,-4.40978845488994,-0.5370495739315175,-1.3218781275567553,-0.45189089550522454,2.6678691652562856,0.4198162454339238,-0.09365271024845961
CSCO,2020-02-12,-3.894105777797008,-0.7322324644446785,0.2151432612961565,0.6477849882380476,3.2726996607465706,-3.051434167850828,-4.3607023463847545,2.0483420877290097,1.149489971293858,-1.1634364792443932,1.4706125464485644,-2.12981133604561,0.537598519103052,0.13140659252024414
AAPL,2020-04-30,-2.4999126540662515,1.4644181572124995,0.1119149681848152,-5.9728058590466215,4.405661255498742,-2.0638657131266367,0.7799073771132548,-0.5156556791000688,2.8335912686644735,-0.8893545063523978,0.8502712873854423,2.2302666604010697,-3.2312863786543193,-1.3540131860285936
CSCO,2020-08-12,-2.994248508221913,-0.6764058061827686,-1.9583804260176318,-1.4792965946300747,1.2074345505761734,-2.891673767182727,-2.0421518443548927,1.3390375880216094,1.8042098648857214,0.2646955509842652,3.3455649535738323,1.1799959749671058,2.892440951227775,0.3920648963914901
